,Time,N
0,0.00000,10.00000
1,0.01000,10.02000
2,0.02000,10.04004
3,0.03000,10.06012
4,0.04000,10.08024
5,0.05000,10.10040
6,0.06000,10.12060
7,0.07000,10.14084
8,0.08000,10.16112
9,0.09000,10.18145
10,0.10000,10.20181
11,0.11000,10.22221
12,0.12000,10.24266
13,0.13000,10.26314
14,0.14000,10.28367
15,0.15000,10.30424
16,0.16000,10.32485
17,0.17000,10.34549
18,0.18000,10.36619
19,0.19000,10.38692
20,0.20000,10.40769
21,0.21000,10.42851
22,0.22000,10.44936
23,0.23000,10.47026
24,0.24000,10.49120
25,0.25000,10.51219
26,0.26000,10.53321
27,0.27000,10.55428
28,0.28000,10.57539
29,0.29000,10.59654
30,0.30000,10.61773
31,0.31000,10.63896
32,0.32000,10.66024
33,0.33000,10.68156
34,0.34000,10.70293
35,0.35000,10.72433
36,0.36000,10.74578
37,0.37000,10.76727
38,0.38000,10.78881
39,0.39000,10.81038
40,0.40000,10.83201
41,0.41000,10.85367
42,0.42000,10.87538
43,0.43000,10.89713
44,0.44000,10.91892
45,0.45000,10.94076
46,0.46000,10.96264
47,0.47000,10.98457
48,0.48000,11.00654
49,0.49000,11.02855
50,0.50000,11.05061
51,0.51000,11.07271
52,0.52000,11.09485
53,0.53000,11.11704
54,0.54000,11.13928
55,0.55000,11.16155
56,0.56000,11.18388
57,0.57000,11.20625
58,0.58000,11.22866
59,0.59000,11.25112
60,0.60000,11.27362
61,0.61000,11.29616
62,0.62000,11.31876
63,0.63000,11.34139
64,0.64000,11.36408
65,0.65000,11.38681
66,0.66000,11.40958
67,0.67000,11.43240
68,0.68000,11.45526
69,0.69000,11.47817
70,0.70000,11.50113
71,0.71000,11.52413
72,0.72000,11.54718
73,0.73000,11.57027
74,0.74000,11.59342
75,0.75000,11.61660
76,0.76000,11.63984
77,0.77000,11.66312
78,0.78000,11.68644
79,0.79000,11.70981
80,0.80000,11.73323
81,0.81000,11.75670
82,0.82000,11.78021
83,0.83000,11.80377
84,0.84000,11.82738
85,0.85000,11.85104
86,0.86000,11.87474
87,0.87000,11.89849
88,0.88000,11.92228
89,0.89000,11.94613
90,0.90000,11.97002
91,0.91000,11.99396
92,0.92000,12.01795
93,0.93000,12.04199
94,0.94000,12.06607
95,0.95000,12.09020
96,0.96000,12.11438
97,0.97000,12.13861
98,0.98000,12.16289
99,0.99000,12.18721
100,1.00000,12.21159
101,1.01000,12.23601
102,1.02000,12.26048
103,1.03000,12.28500
104,1.04000,12.30957
105,1.05000,12.33419
106,1.06000,12.35886
107,1.07000,12.38358
108,1.08000,12.40835
109,1.09000,12.43316
110,1.10000,12.45803
111,1.11000,12.48295
112,1.12000,12.50791
113,1.13000,12.53293
114,1.14000,12.55799
115,1.15000,12.58311
116,1.16000,12.60828
117,1.17000,12.63349
118,1.18000,12.65876
119,1.19000,12.68408
120,1.20000,12.70944
121,1.21000,12.73486
122,1.22000,12.76033
123,1.23000,12.78585
124,1.24000,12.81143
125,1.25000,12.83705
126,1.26000,12.86272
127,1.27000,12.88845
128,1.28000,12.91423
129,1.29000,12.94005
130,1.30000,12.96593
131,1.31000,12.99187
132,1.32000,13.01785
133,1.33000,13.04389
134,1.34000,13.06997
135,1.35000,13.09611
136,1.36000,13.12231
137,1.37000,13.14855
138,1.38000,13.17485
139,1.39000,13.20120
140,1.40000,13.22760
141,1.41000,13.25405
142,1.42000,13.28056
143,1.43000,13.30712
144,1.44000,13.33374
145,1.45000,13.36040
146,1.46000,13.38713
147,1.47000,13.41390
148,1.48000,13.44073
149,1.49000,13.46761
150,1.50000,13.49454
151,1.51000,13.52153
152,1.52000,13.54858
153,1.53000,13.57567
154,1.54000,13.60283
155,1.55000,13.63003
156,1.56000,13.65729
157,1.57000,13.68461
158,1.58000,13.71197
159,1.59000,13.73940
160,1.60000,13.76688
161,1.61000,13.79441
162,1.62000,13.82200
163,1.63000,13.84964
164,1.64000,13.87734
165,1.65000,13.90510
166,1.66000,13.93291
167,1.67000,13.96077
168,1.68000,13.98870
169,1.69000,14.01667
170,1.70000,14.04471
171,1.71000,14.07280
172,1.72000,14.10094
173,1.73000,14.12914
174,1.74000,14.15740
175,1.75000,14.18572
176,1.76000,14.21409
177,1.77000,14.24252
178,1.78000,14.27100
179,1.79000,14.29954
