,Time,H,P
0,0.00000,20.00000,2.00000
1,0.01000,20.01200,2.00200
2,0.02000,20.02401,2.00401
3,0.03000,20.03601,2.00602
4,0.04000,20.04803,2.00804
5,0.05000,20.06004,2.01006
6,0.06000,20.07206,2.01208
7,0.07000,20.08408,2.01411
8,0.08000,20.09610,2.01614
9,0.09000,20.10813,2.01818
10,0.10000,20.12016,2.02022
11,0.11000,20.13219,2.02227
12,0.12000,20.14423,2.02432
13,0.13000,20.15627,2.02638
14,0.14000,20.16831,2.02844
15,0.15000,20.18035,2.03050
16,0.16000,20.19240,2.03257
17,0.17000,20.20445,2.03464
18,0.18000,20.21651,2.03672
19,0.19000,20.22856,2.03881
20,0.20000,20.24062,2.04089
21,0.21000,20.25269,2.04299
22,0.22000,20.26475,2.04508
23,0.23000,20.27682,2.04718
24,0.24000,20.28889,2.04929
25,0.25000,20.30097,2.05140
26,0.26000,20.31305,2.05352
27,0.27000,20.32513,2.05564
28,0.28000,20.33721,2.05776
29,0.29000,20.34930,2.05989
30,0.30000,20.36139,2.06203
31,0.31000,20.37348,2.06416
32,0.32000,20.38557,2.06631
33,0.33000,20.39767,2.06846
34,0.34000,20.40977,2.07061
35,0.35000,20.42187,2.07277
36,0.36000,20.43398,2.07493
37,0.37000,20.44609,2.07710
38,0.38000,20.45820,2.07927
39,0.39000,20.47031,2.08145
40,0.40000,20.48243,2.08363
41,0.41000,20.49455,2.08581
42,0.42000,20.50667,2.08801
43,0.43000,20.51880,2.09020
44,0.44000,20.53092,2.09240
45,0.45000,20.54305,2.09461
46,0.46000,20.55519,2.09682
47,0.47000,20.56732,2.09904
48,0.48000,20.57946,2.10126
49,0.49000,20.59160,2.10348
50,0.50000,20.60374,2.10571
51,0.51000,20.61589,2.10795
52,0.52000,20.62804,2.11019
53,0.53000,20.64019,2.11243
54,0.54000,20.65234,2.11468
55,0.55000,20.66450,2.11694
56,0.56000,20.67666,2.11920
57,0.57000,20.68882,2.12146
58,0.58000,20.70098,2.12373
59,0.59000,20.71315,2.12601
60,0.60000,20.72531,2.12829
61,0.61000,20.73749,2.13057
62,0.62000,20.74966,2.13286
63,0.63000,20.76183,2.13516
64,0.64000,20.77401,2.13746
65,0.65000,20.78619,2.13976
66,0.66000,20.79837,2.14208
67,0.67000,20.81056,2.14439
68,0.68000,20.82275,2.14671
69,0.69000,20.83493,2.14904
70,0.70000,20.84713,2.15137
71,0.71000,20.85932,2.15370
72,0.72000,20.87152,2.15605
73,0.73000,20.88371,2.15839
74,0.74000,20.89591,2.16074
75,0.75000,20.90812,2.16310
76,0.76000,20.92032,2.16546
77,0.77000,20.93253,2.16783
78,0.78000,20.94474,2.17020
79,0.79000,20.95695,2.17258
80,0.80000,20.96916,2.17496
81,0.81000,20.98138,2.17735
