#t, S, I, R
0.000001 996.999997 3.000003 0.000000 
0.000002 996.988809 3.010742 0.000449 
0.003742 996.977549 3.021550 0.000901 
0.007494 996.966248 3.032398 0.001354 
0.011245 996.954907 3.043284 0.001809 
0.014997 996.943525 3.054209 0.002266 
0.018748 996.932102 3.065174 0.002724 
0.022500 996.920637 3.076178 0.003184 
0.026251 996.909132 3.087222 0.003646 
0.030003 996.897585 3.098306 0.004109 
0.033755 996.885997 3.109429 0.004574 
0.037507 996.874367 3.120592 0.005041 
0.041259 996.862695 3.131796 0.005509 
0.045011 996.850981 3.143040 0.005979 
0.048763 996.839225 3.154324 0.006451 
0.052515 996.827427 3.165649 0.006924 
0.056267 996.815586 3.177014 0.007399 
0.060019 996.803703 3.188421 0.007876 
0.063772 996.791777 3.199868 0.008355 
0.067524 996.779808 3.211357 0.008835 
0.071277 996.767796 3.222887 0.009317 
0.075029 996.755741 3.234458 0.009801 
0.078782 996.743642 3.246071 0.010286 
0.082534 996.731500 3.257726 0.010774 
0.086287 996.719315 3.269423 0.011263 
0.090040 996.707085 3.281161 0.011754 
0.093793 996.694811 3.292942 0.012246 
0.097546 996.682494 3.304766 0.012740 
0.101299 996.670132 3.316632 0.013237 
0.105052 996.657725 3.328540 0.013734 
0.108805 996.645274 3.340492 0.014234 
0.112559 996.632778 3.352486 0.014736 
0.116312 996.620237 3.364524 0.015239 
0.120065 996.607651 3.376605 0.015744 
0.123819 996.595020 3.388729 0.016251 
0.127572 996.582343 3.400897 0.016760 
0.131326 996.569621 3.413109 0.017271 
0.135080 996.556853 3.425364 0.017783 
0.138833 996.544039 3.437664 0.018297 
0.142587 996.531178 3.450008 0.018814 
0.146341 996.518272 3.462396 0.019332 
0.150095 996.505319 3.474829 0.019852 
0.153849 996.492319 3.487307 0.020373 
0.157604 996.479273 3.499830 0.020897 
0.161358 996.466180 3.512397 0.021423 
0.165112 996.453040 3.525010 0.021950 
0.168867 996.439852 3.537668 0.022480 
0.172621 996.426617 3.550372 0.023011 
0.176376 996.413334 3.563122 0.023544 
0.180130 996.400004 3.575917 0.024079 
0.183885 996.386625 3.588758 0.024616 
0.187640 996.373199 3.601646 0.025155 
0.191395 996.359724 3.614580 0.025696 
0.195149 996.346200 3.627561 0.026239 
0.198904 996.332628 3.640588 0.026784 
0.202660 996.319007 3.653662 0.027331 
0.206415 996.305337 3.666783 0.027880 
0.210170 996.291618 3.679951 0.028430 
